name,dimension,c_apx_ratio,r_apx_ratio
fri26,26,1.0544290288153682,3.1867662753468515
bays29,29,1.0831683168316832,3.2004950495049505
swiss42,42,1.09897879025923,3.82560879811469
hk48,48,1.1394293691649944,4.82697844865195
brazil58,58,1.082693443591258,4.869895648749754
st70,70,1.1377777777777778,5.275555555555556
kroB150,150,1.135438193647149,9.767164179104478
pr152,152,1.0764772943188297,14.122648679460385
rat195,195,1.164012053379251,8.958243650452001
d657,657,1.1222399411187438,17.327097644749756
